SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_SELECTED_MADVISE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill selected madvise.	ds4.c:18437
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_SELECTED_PAGEIN	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill selected pagein.	ds4.c:18427
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_SELECTED_READAHEAD	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill selected readahead.	ds4.c:19971
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_SELECTED_READAHEAD_SHARED	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill selected readahead shared.	ds4.c:19973
runtime/metal	DS4_METAL_ENABLE_STREAMING_READAHEAD	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming readahead.	ds4.c:18218
runtime/metal	DS4_METAL_ENABLE_STREAMING_SELECTED_READAHEAD_SHARED_DELAY	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming selected readahead shared delay.	ds4.c:21734
runtime/metal	DS4_METAL_ENABLE_STREAMING_STATIC_DECODE_MAP	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming static decode map.	ds4.c:18237
runtime/metal	DS4_METAL_ENABLE_TOKEN_EMBED_EXACT_VIEW	presence opt-in; unset: off/automatic; any value including 0 enables	Enables token embed exact view.	ds4_metal.m:12219
runtime/metal	DS4_METAL_EXACT_VIEW_CACHE_GIB	unsigned GiB; default 64; 0 disables size-triggered eviction; MIB overrides it	Sets the cached exact-model-view eviction threshold.	ds4_metal.m:1333
runtime/metal	DS4_METAL_EXACT_VIEW_CACHE_MIB	unsigned MiB; unset: inherit GIB/default; 0 disables size-triggered eviction; overrides GIB	Sets the cached exact-model-view eviction threshold with MiB precision.	ds4_metal.m:1342
runtime/metal	DS4_METAL_EXACT_VIEW_CACHE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for exact view cache.	ds4_metal.m:1377
runtime/metal	DS4_METAL_FLASH_ATTN_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the FlashAttention Metal kernel source file loaded at runtime.	ds4_metal.m:4935
runtime/metal	DS4_METAL_FLASH_ATTN_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for flash attn stage.	ds4.c:65435
runtime/metal	DS4_METAL_FLASH_ATTN_STAGE_PROFILE_FILTER	substring; unset/empty: all profiled modes/stages	Filters FlashAttention stage-profile output by mode or stage substring.	ds4_metal.m:11178
runtime/metal	DS4_METAL_GET_ROWS_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the get-rows Metal kernel source file loaded at runtime.	ds4_metal.m:4946
runtime/metal	DS4_METAL_GLM_DISABLE_STREAMING_EXPERT_CACHE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert cache for GLM.	ds4_metal.m:39667
runtime/metal	DS4_METAL_GLM_DISABLE_STREAMING_GROUPED_ADDR_PREFILL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming grouped address prefill for GLM.	ds4_metal.m:41081
runtime/metal	DS4_METAL_GLM_DISABLE_STREAMING_SEED_BEFORE_PREFILL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming seed before prefill for GLM.	ds4.c:51335
runtime/metal	DS4_METAL_GLM_DISABLE_STREAMING_TOKEN_PREFILL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming token prefill for GLM.	ds4.c:49965
runtime/metal	DS4_METAL_GLM_MOE_ONE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; accepts layer lists/ranges; 0/false/no/off disables	Prints timing/profile diagnostics for GLM MoE one stage.	ds4_metal.m:39964
runtime/metal	DS4_METAL_GLM_MOE_ONE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all layers selected by profiler	Restricts GLM one-stage MoE profiling to selected layers.	ds4_metal.m:39965
runtime/metal	DS4_METAL_GLM_MOE_STAGE_PROFILE_FILTER	substring; unset/empty: all profiled stages	Filters GLM MoE stage-profile output.	ds4_metal.m:39968
runtime/metal	DS4_METAL_GLM_QKLOW_DEBUG	presence diagnostic; unset: off; any value including 0 enables	Enables debug diagnostics for GLM qklow.	ds4_metal.m:37868
runtime/metal	DS4_METAL_GLM_STREAMING_ASYNC_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for GLM streaming async.	ds4.c:44623
runtime/metal	DS4_METAL_GLM_STREAMING_DECODE_FULL_LAYER_MAP	presence control; unset: off/default; any value including 0 enables	Maps complete GLM layers during SSD-streaming decode instead of decode-only spans.	ds4.c:42877
runtime/metal	DS4_METAL_GLM_STREAMING_DECODE_SYNC_EACH_LAYER	boolean text; Metal runtime always synchronizes and does not consult it; legacy fallback name read only in ROCm builds	Controls per-layer GLM streaming decode synchronization only as a legacy ROCm fallback alias.	ds4.c:50041
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER	presence control; unset: off/default; any value including 0 enables	Forces full-layer GLM SSD prefill regardless of the token crossover.	ds4_metal.m:14710
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS	positive uint32; default 64 on Metal, 1024 when used as ROCm fallback; 0/invalid restores default	Sets the token crossover for GLM full-layer SSD prefill.	ds4.c:42954
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER	boolean text; Metal runtime always synchronizes and does not consult it; legacy fallback name read only in ROCm builds	Controls per-layer GLM streaming prefill synchronization only as a legacy ROCm fallback alias.	ds4.c:42657
runtime/metal	DS4_METAL_GLM_STREAMING_TOKEN_PREFILL_MAX	uint32; default 64 on Metal, 0 when used as ROCm fallback; 0 disables; invalid restores default	Sets largest GLM SSD prefill handled token-major by the decode graph.	ds4.c:49944
runtime/metal	DS4_METAL_GLU_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the GLU Metal kernel source file loaded at runtime.	ds4_metal.m:4950
runtime/metal	DS4_METAL_GPU_BATCH_EMBED_MIN	uint32 token threshold; default 512; invalid restores default	Sets the batch size at which prompt embedding moves from CPU upload to Metal kernels.	ds4.c:28882
runtime/metal	DS4_METAL_GPU_BUSY_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for GPU busy.	ds4_metal.m:1293
runtime/metal	DS4_METAL_GRAPH_DUMP_LAYER	unsigned layer index or all; unset: every layer	Restricts graph tensor dumps to one layer.	ds4.c:16878
runtime/metal	DS4_METAL_GRAPH_DUMP_LOGITS	file path; unset/empty: no graph-logit dump	Writes Metal graph-test logits as f32 binary.	ds4.c:39095
runtime/metal	DS4_METAL_GRAPH_DUMP_NAME	substring; unset/empty: every tensor name	Restricts graph tensor dumps by tensor-name substring.	ds4.c:16874
runtime/metal	DS4_METAL_GRAPH_DUMP_POS	unsigned token position; unset: every position	Restricts graph tensor dumps to one token position.	ds4.c:16885
runtime/metal	DS4_METAL_GRAPH_DUMP_PREFIX	path/prefix; unset/empty: tensor dumping disabled	Enables graph tensor dumps and supplies the filename prefix.	ds4.c:65431
runtime/metal	DS4_METAL_GRAPH_DUMP_TRACE	presence diagnostic; unset: off; any value including 0 enables	Emits trace diagnostics for graph dump.	ds4.c:16915
runtime/metal	DS4_METAL_GRAPH_OUTPUT_ROW	zero-based row smaller than current batch; default final row; invalid restores final row	Chooses which prefill output row is projected to logits.	ds4.c:35861
runtime/metal	DS4_METAL_GRAPH_PREFILL_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph prefill.	ds4.c:35538
runtime/metal	DS4_METAL_GRAPH_PREFILL_SPLIT_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph prefill split.	ds4.c:66487
runtime/metal	DS4_METAL_GRAPH_PROMPT_TOKENS	integer 1..prompt length; default full prompt	Limits prompt length used by the Metal graph parity test.	ds4.c:39038
runtime/metal	DS4_METAL_GRAPH_RAW_CAP	positive rows; default from SWA window+prefill; clamped to [raw_window,min(ctx,8192)]	Overrides raw sliding-window KV ring capacity.	ds4.c:38405
runtime/metal	DS4_METAL_GRAPH_TEACHER_FORCE	presence control; unset: off/default; any value including 0 enables	Feeds CPU reference state back into the first-token graph trace at each layer.	ds4.c:27757
runtime/metal	DS4_METAL_GRAPH_TOKEN_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph token.	ds4.c:32397
runtime/metal	DS4_METAL_GRAPH_TOKEN_SECOND_SPLIT_LAYERS	integer 0..layer count; default 0 plus eligible automatic pre-M5 schedules; explicit value wins	Overrides second command-buffer split layer for token decode.	ds4.c:28044
runtime/metal	DS4_METAL_GRAPH_TOKEN_SPLIT_LAYERS	integer 0..layer count; default 4 on Apple and 0 elsewhere, with eligible pre-M5 adaptive override	Overrides first command-buffer split layer for token decode.	ds4.c:27930
runtime/metal	DS4_METAL_GRAPH_TRACE_CACHE	presence control; unset: off/default; any value including 0 enables	Prints raw KV cache parity diagnostics in the graph prompt test.	ds4.c:39107
runtime/metal	DS4_METAL_GRAPH_TRACE_COMP	presence control; unset: off/default; any value including 0 enables	Prints compressed-cache parity diagnostics in the graph prompt test.	ds4.c:39108
runtime/metal	DS4_METAL_GRAPH_TRACE_LAYERS	presence control; unset: off/default; any value including 0 enables	Enables per-layer first-token CPU/GPU graph tracing.	ds4.c:27754
runtime/metal	DS4_METAL_GRAPH_TRACE_STAGE_LAYER	signed layer index; unset gives -1/no stage-layer selection	Selects the layer used by first-token stage tracing.	ds4.c:27758
runtime/metal	DS4_METAL_HC_NORM_FUSION_CHECK	nonempty boolean; unset/empty or exact 0: off; every other value: on	Compares fused HC normalization against the reference result.	ds4.c:20536
runtime/metal	DS4_METAL_HC_NORM_FUSION_CHECK_TOL	positive finite float; default 2e-4; invalid/nonpositive restores default	Sets the numerical tolerance for the HC norm-fusion oracle.	ds4.c:20545
runtime/metal	DS4_METAL_HC_STABLE	boolean empty/1/true/yes/on vs 0/false/no/off; default on	Compiles stable hidden-context drift arithmetic into the Metal library.	ds4_metal.m:7047
runtime/metal	DS4_METAL_INDEXER_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for indexer stage.	ds4.c:17584
runtime/metal	DS4_METAL_IQ2_XXS_SSD_PREFILL_MM_STATS	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Collects/prints statistics for IQ2 XXS SSD prefill MM.	ds4_metal.m:6980
runtime/metal	DS4_METAL_KV_RAW_F32	boolean empty/1/true/yes/on vs 0/false/no/off; default off	Compiles raw KV storage as F32 for drift diagnosis.	ds4_metal.m:7049
runtime/metal	DS4_METAL_LAYER_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; a layer index selects one; 0/false/no/off disables	Prints timing/profile diagnostics for layer stage.	ds4.c:65433
runtime/metal	DS4_METAL_LAYER_STAGE_PROFILE_LAYER	single unsigned layer index; unset/empty: all layers enabled by the parent profile; invalid matches no layer	Restricts the corresponding shared graph stage profiler to one layer.	ds4.c:29124
runtime/metal	DS4_METAL_MATH_SAFE	boolean empty/1/true/yes/on vs 0/false/no/off; default off	Compiles Metal shaders with strict/safe IEEE math instead of fast math.	ds4_metal.m:7051
runtime/metal	DS4_METAL_MEMORY_REPORT	presence control; unset: off/default; any value including 0 enables	Prints Metal allocation/cache/residency memory reports.	ds4.c:39062
runtime/metal	DS4_METAL_MODEL_UNTRACKED	presence control; unset: off/default; any value including 0 enables	Creates mapped model buffers with untracked Metal hazard tracking.	ds4_metal.m:1547
runtime/metal	DS4_METAL_MODEL_VIEW_MAX_GIB	positive integer GiB; default device maximum (128-GiB cap for already-split span maps); cannot exceed device maximum	Caps each no-copy mapped Metal model view.	ds4_metal.m:2216
runtime/metal	DS4_METAL_MODEL_WARMUP_STRIDE_KB	integer 1..1048576 KiB, at least one page; unset inherits MB/default; overrides STRIDE_MB	Sets the model-view warmup touch stride with KiB precision.	ds4_metal.m:3057
runtime/metal	DS4_METAL_MODEL_WARMUP_STRIDE_MB	integer 1..1024 MiB; default 1 MiB; STRIDE_KB overrides	Sets the model-view warmup touch stride.	ds4_metal.m:3049
runtime/metal	DS4_METAL_MOE_MM_ID_USE_RESOURCES	presence control; unset: off/default; any value including 0 enables	Declares MM-ID MoE resource usage explicitly on the command encoder.	ds4_metal.m:35168
runtime/metal	DS4_METAL_MOE_ONE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; accepts layer lists/ranges; 0/false/no/off disables	Prints timing/profile diagnostics for MoE one stage.	ds4.c:22729
runtime/metal	DS4_METAL_MOE_ONE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all profiler-selected layers	Restricts one-stage MoE profiling to selected layers.	ds4_metal.m:43436
runtime/metal	DS4_METAL_MOE_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the MoE Metal kernel source file loaded at runtime.	ds4_metal.m:4937
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; accepts layer lists/ranges; 0/false/no/off disables	Prints timing/profile diagnostics for MoE stage.	ds4.c:65437
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE_FILTER	substring; unset/empty: all profiled stages	Filters MoE stage-profile output.	ds4_metal.m:43438
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all profiler-selected layers	Restricts batched MoE stage profiling to selected layers.	ds4_metal.m:45346
runtime/metal	DS4_METAL_MOE_WRITE_CLAMPED_ACT	presence control; unset: off/default; any value including 0 enables	Makes routed MoE write the clamped activation diagnostic.	ds4.c:18542
runtime/metal	DS4_METAL_NORM_RSQRT_DISABLE	boolean empty/1/true/yes/on vs 0/false/no/off; default on	Compiles unified normalization-rsqrt arithmetic into the Metal library.	ds4_metal.m:7048
runtime/metal	DS4_METAL_NORM_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the normalization Metal kernel source file loaded at runtime.	ds4_metal.m:4951
runtime/metal	DS4_METAL_NO_MODEL_WARMUP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables model warmup.	ds4_metal.m:2309
runtime/metal	DS4_METAL_NO_PREFILL_KERNEL_WARMUP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables prefill kernel warmup.	ds4.c:28980
runtime/metal	DS4_METAL_NO_RESIDENCY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables residency.	ds4_metal.m:2092
runtime/metal	DS4_METAL_OUTPUT_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for output stage.	ds4.c:17585
runtime/metal	DS4_METAL_PREFILL_CHUNK	positive token count used only when CLI chunk is absent; default full prompt, or 4096 for long non-PRO and 8192 for long PRO prompts; <=0 keeps automatic/full prompt	Provides the historical environment fallback for prefill chunk size.	ds4.c:12802
runtime/metal	DS4_METAL_PRO_Q4_CPU_ROUTER	nonempty boolean; unset/empty or exact 0: off; every other value: on	Uses the CPU router for PRO Q4 selected-expert decode.	ds4.c:20949
runtime/metal	DS4_METAL_PRO_Q4_CPU_ROUTER_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for pro Q4 CPU router.	ds4.c:21659
runtime/metal	DS4_METAL_Q4_ADDR_USE_RESOURCES	presence control; unset: off/default; any value including 0 enables	Declares Q4 address-table resources explicitly on encoders.	ds4_metal.m:20259
runtime/metal	DS4_METAL_Q4_EXPERT_GROUP_SIZE	positive uint32; default 32; clamped to total expert count	Sets experts processed per grouped Q4 dispatch.	ds4_metal.m:34088
runtime/metal	DS4_METAL_Q4_EXPERT_TABLE_GROUP_SIZE	integer 2..total experts; default/invalid 1 (ungrouped)	Sets grouped exact-view width while building Q4 expert tables.	ds4_metal.m:19604
runtime/metal	DS4_METAL_Q4_EXPERT_TABLE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for Q4 expert table.	ds4_metal.m:20103
runtime/metal	DS4_METAL_Q4_GROUP24_BASE_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses broad base model views for Q4 group-24 instead of exact views.	ds4_metal.m:42205
runtime/metal	DS4_METAL_Q4_GROUP24_EXACT_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses exact mapped views for Q4 group-24 experts.	ds4_metal.m:42204
runtime/metal	DS4_METAL_Q4_GROUPED_CACHE_VIEWS	presence control; unset: off/default; any value including 0 enables	Caches exact Q4 grouped expert views.	ds4_metal.m:42151
runtime/metal	DS4_METAL_Q4_PRO_MAP_GROUPS	positive divisor of 384 in 1..384; default/invalid 1	Splits each 384-expert PRO Q4 tensor into this many mapped views.	ds4.c:6276
